date,target_reg_tomorrow,target_class_tomorrow
2024-03-28,61.833333333333336,1
2024-03-29,61.25,1
2024-03-30,61.375,1
2024-03-31,62.958333333333336,1
2024-04-01,65.66666666666667,1
2024-04-02,57.833333333333336,1
2024-04-03,50.04166666666666,1
2024-04-04,50.5,1
2024-04-05,46.66666666666666,0
2024-04-06,44.41666666666666,0
2024-04-07,46.208333333333336,0
2024-04-08,48.208333333333336,0
2024-04-09,46.125,0
2024-04-10,58.833333333333336,1
2024-04-11,58.083333333333336,1
2024-04-12,60.54166666666666,1
2024-04-13,57.833333333333336,1
2024-04-14,52.0,1
2024-04-15,43.75,0
2024-04-16,44.25,0
2024-04-17,54.0,1
2024-04-18,56.333333333333336,1
2024-04-19,46.458333333333336,0
2024-04-20,38.458333333333336,0
2024-04-21,41.04166666666666,0
2024-04-22,43.75,0
2024-04-23,41.0,0
2024-04-24,38.583333333333336,0
2024-04-25,43.333333333333336,0
2024-04-26,43.04166666666666,0
2024-04-27,39.25,0
2024-04-28,50.16666666666666,1
2024-04-29,55.0,1
2024-04-30,52.41666666666666,1
2024-05-01,50.125,1
2024-05-02,41.29166666666666,0
2024-05-03,41.91666666666666,0
2024-05-04,55.0,1
2024-05-05,65.25,1
2024-05-06,52.708333333333336,1
2024-05-07,62.5,1
2024-05-08,59.25,1
2024-05-09,67.29166666666667,1
2024-05-10,55.583333333333336,1
2024-05-11,56.75,1
2024-05-12,54.375,1
2024-05-13,66.875,1
2024-05-14,60.25,1
2024-05-15,55.54166666666666,1
2024-05-16,52.125,1
2024-05-17,59.25,1
2024-05-18,60.04166666666666,1
2024-05-19,70.16666666666667,1
2024-05-20,77.875,1
2024-05-21,98.0,1
2024-05-22,96.45833333333331,1
2024-05-23,102.29166666666669,2
2024-05-24,72.79166666666667,1
2024-05-25,62.66666666666666,1
2024-05-26,72.41666666666667,1
2024-05-27,90.91666666666669,1
2024-05-28,87.79166666666667,1
2024-05-29,82.5,1
2024-05-30,76.70833333333333,1
2024-05-31,86.5,1
2024-06-01,106.08333333333331,2
2024-06-02,109.25,2
2024-06-03,106.79166666666669,2
2024-06-04,103.25,2
2024-06-05,97.58333333333331,1
2024-06-06,103.0,2
2024-06-07,109.375,2
2024-06-08,93.29166666666669,1
2024-06-09,74.08333333333333,1
2024-06-10,84.95833333333333,1
2024-06-11,78.91666666666667,1
2024-06-12,73.45833333333333,1
2024-06-13,81.33333333333333,1
2024-06-14,88.45833333333333,1
2024-06-15,80.45833333333333,1
2024-06-16,72.54166666666667,1
2024-06-17,64.58333333333333,1
2024-06-18,68.08333333333333,1
2024-06-19,66.625,1
2024-06-20,75.375,1
2024-06-21,59.79166666666666,1
2024-06-22,49.375,0
2024-06-23,65.29166666666667,1
2024-06-24,73.58333333333333,1
2024-06-25,82.66666666666667,1
2024-06-26,84.95833333333333,1
2024-06-27,76.625,1
2024-06-28,62.708333333333336,1
2024-06-29,62.29166666666666,1
2024-06-30,77.875,1
2024-07-01,79.375,1
2024-07-02,88.91666666666667,1
2024-07-03,92.95833333333331,1
2024-07-04,99.58333333333331,1
2024-07-05,87.95833333333333,1
2024-07-06,77.20833333333333,1
2024-07-07,75.125,1
2024-07-08,91.70833333333331,1
2024-07-09,83.83333333333333,1
2024-07-10,80.5,1
2024-07-11,61.91666666666666,1
2024-07-12,53.875,1
2024-07-13,58.16666666666666,1
2024-07-14,55.708333333333336,1
2024-07-15,58.25,1
2024-07-16,54.29166666666666,1
2024-07-17,56.875,1
2024-07-18,65.79166666666667,1
2024-07-19,72.25,1
2024-07-20,67.75,1
2024-07-21,67.58333333333333,1
2024-07-22,81.5,1
2024-07-23,82.91666666666667,1
2024-07-24,75.29166666666667,1
2024-07-25,65.41666666666667,1
2024-07-26,82.33333333333333,1
2024-07-27,85.83333333333333,1
2024-07-28,87.70833333333333,1
2024-07-29,84.875,1
2024-07-30,98.5,1
2024-07-31,96.08333333333331,1
2024-08-01,109.875,2
2024-08-02,102.125,2
2024-08-03,82.08333333333333,1
2024-08-04,74.79166666666667,1
2024-08-05,70.25,1
2024-08-06,70.375,1
2024-08-07,71.20833333333333,1
2024-08-08,78.33333333333333,1
2024-08-09,84.08333333333333,1
2024-08-10,81.83333333333333,1
